S,t
1.5,11996.0
2.0000000000000004,10506.0
1.7000000000000002,10841.0
2.0000000000000004,10160.0
1.5,14560.0
1.7500000000000002,14051.0
1.55,10197.0
1.6500000000000001,12095.0
1.45,11319.0
1.8000000000000003,10391.0
1.8000000000000003,11389.0
1.7500000000000002,10103.0
1.4,11507.0
1.8000000000000003,11337.0
1.8500000000000003,10028.0
1.9000000000000004,10022.0
1.7500000000000002,10234.0
1.8000000000000003,10374.0
1.9500000000000004,10738.0
1.8500000000000003,10138.0
1.7500000000000002,11158.0
1.9000000000000004,10203.0
1.7500000000000002,10466.0
1.9000000000000004,11084.0
1.9000000000000004,10168.0
1.9000000000000004,10193.0
1.4,12430.0
2.0000000000000004,11262.0
1.5,12057.0
2.0000000000000004,10501.0
1.45,14237.0
2.0000000000000004,10063.0
1.55,11738.0
1.4,12066.0
1.9500000000000004,10008.0
1.8500000000000003,10002.0
1.8500000000000003,10472.0
1.6500000000000001,12697.0
1.45,12637.0
2.0000000000000004,10889.0
2.0000000000000004,11121.0
1.8500000000000003,10094.0
1.8500000000000003,10593.0
1.9000000000000004,10317.0
1.4,11330.0
1.6,11510.0
1.6500000000000001,10539.0
1.8500000000000003,10978.0
1.45,11144.0
1.4,20346.0
1.55,11446.0
2.0000000000000004,10262.0
2.0000000000000004,10626.0
1.6500000000000001,13981.0
1.6,13302.0
2.0000000000000004,10223.0
1.8500000000000003,10548.0
1.9000000000000004,11739.0
1.5,10515.0
1.7500000000000002,11196.0
1.5,13542.0
1.6,11165.0
1.55,11419.0
1.6,11046.0
2.0000000000000004,11009.0
1.9500000000000004,10611.0
1.9500000000000004,10196.0
2.0000000000000004,11786.0
1.45,16593.0
1.4,18322.0
1.8500000000000003,10100.0
1.55,11947.0
1.9500000000000004,10337.0
1.9500000000000004,10788.0
1.9000000000000004,10714.0
2.0000000000000004,10416.0
1.45,19472.0
1.8000000000000003,10163.0
1.6500000000000001,11237.0
1.9000000000000004,10012.0
1.4,20979.0
1.8500000000000003,10205.0
1.8500000000000003,10721.0
1.55,12252.0
1.45,12716.0
1.4,10854.0
1.5,10542.0
1.7000000000000002,12523.0
1.4,10524.0
1.55,11004.0
1.55,11292.0
1.7000000000000002,15831.0
1.45,10864.0
1.4,35472.0
1.55,12249.0
1.55,11217.0
1.5,11818.0
1.8500000000000003,10791.0
1.55,10977.0
1.45,11104.0
1.9500000000000004,10239.0
1.6500000000000001,10903.0
2.0000000000000004,10468.0
2.0000000000000004,10263.0
1.8000000000000003,10388.0
1.8500000000000003,15018.0
2.0000000000000004,10088.0
1.4,18789.0
1.8000000000000003,10264.0
1.9000000000000004,11107.0
1.8500000000000003,10449.0
1.6,10733.0
1.6500000000000001,10279.0
1.4,12022.0
1.8500000000000003,11373.0
1.9500000000000004,11330.0
1.9500000000000004,12974.0
1.6,10672.0
1.9500000000000004,12703.0
1.6,10635.0
1.6500000000000001,11076.0
1.55,12092.0
1.7500000000000002,10639.0
1.45,10339.0
1.7500000000000002,10606.0
1.5,10317.0
1.9500000000000004,10459.0
1.9000000000000004,10776.0
1.7000000000000002,10477.0
1.6,14770.0
1.4,10150.0
1.8000000000000003,12203.0
1.4,13355.0
2.0000000000000004,10882.0
1.9000000000000004,10583.0
1.6,11463.0
1.55,10643.0
1.55,14119.0
1.7500000000000002,11112.0
1.9500000000000004,10128.0
1.5,11776.0
1.9000000000000004,11150.0
1.7000000000000002,10024.0
2.0000000000000004,11452.0
1.7500000000000002,10215.0
2.0000000000000004,10001.0
1.9000000000000004,10145.0
1.7500000000000002,10100.0
1.8000000000000003,12069.0
1.9500000000000004,10283.0
1.8500000000000003,10178.0
1.7000000000000002,10014.0
1.7500000000000002,10885.0
1.45,14409.0
1.4,14096.0
1.7500000000000002,10304.0
1.5,10235.0
1.8000000000000003,10008.0
1.6500000000000001,11935.0
1.8500000000000003,10530.0
1.4,10592.0
1.9000000000000004,10106.0
1.6500000000000001,11626.0
1.7500000000000002,10938.0
1.4,22653.0
1.45,11427.0
1.6,10246.0
1.45,11191.0
2.0000000000000004,10453.0
1.7500000000000002,10200.0
1.8000000000000003,11364.0
1.7000000000000002,11327.0
1.7000000000000002,11748.0
1.8000000000000003,11802.0
1.4,12890.0
1.7000000000000002,10218.0
1.7500000000000002,10768.0
1.4,28216.0
1.5,12797.0
1.7000000000000002,10144.0
1.9500000000000004,10699.0
1.45,10384.0
1.55,10639.0
1.8500000000000003,10340.0
2.0000000000000004,10748.0
1.9000000000000004,10881.0
1.5,17887.0
1.5,12032.0
1.4,11172.0
1.4,11662.0
1.8500000000000003,10529.0
1.7500000000000002,11285.0
2.0000000000000004,10268.0
1.6,12785.0
2.0000000000000004,10913.0
1.7000000000000002,10507.0
1.9500000000000004,10975.0
1.8000000000000003,12217.0
1.8500000000000003,11166.0
1.8500000000000003,10393.0
1.4,12809.0
1.9000000000000004,10137.0
2.0000000000000004,10757.0
1.7000000000000002,12528.0
1.8000000000000003,10627.0
1.7000000000000002,12405.0
1.9500000000000004,10377.0
1.55,11387.0
1.6,10050.0
1.8500000000000003,10199.0
1.7500000000000002,10288.0
1.6,10159.0
1.6,12476.0
1.6,13998.0
1.9000000000000004,10046.0
1.9500000000000004,11773.0
1.9500000000000004,10056.0
1.45,13187.0
2.0000000000000004,10095.0
1.45,19445.0
1.8500000000000003,11011.0
1.8000000000000003,10894.0
